id,span,propaganda,sequence_size,qm_size,em_size,ner_person,ner_organization,ner_country,sentiment,polarity,subjectivity,readability,loaded_language
11220,Many times I think of Saint Peter.,0,34.00,0,0,,,,2.00,0.50,0.50,106.67,0.00
11221,This is important: a theology of sin.,0,37.00,0,0,,,,3.00,0.40,1.00,55.91,0.00
11222,That is a danger,1,16.00,0,0,,,,2.00,0.00,0.00,92.80,0.00
11223,"When we confess our sins and we truly say, “I have sinned in this”, the Lord forgets, and so we have no right not to forget, because otherwise we would run the risk of the Lord not forgetting our sins.",0,201.00,0,0,,,,1.00,-0.14,0.54,64.72,0.00
11224,"But if a person, whether it be a lay person, a priest or a religious sister, commits a sin and then converts, the Lord forgives, and when the Lord forgives, the Lord forgets and this is very important for our lives.",0,215.00,0,0,,,,1.00,0.26,0.62,55.24,0.00
11225,"No, sins.",0,9.00,0,0,,,,1.00,0.00,0.00,120.21,0.00
11226,Crimes are something different: the abuse of minors is a crime.,0,63.00,0,0,,,,2.00,0.00,0.60,77.23,0.00
11227,"They are not crimes, right?",0,27.00,1,0,,,,2.00,0.29,0.54,117.16,0.00
11228,"I see that many times in the Church, over and above this case, but including this case, people search for “sins from youth”, for example, and then publish them.",0,160.00,0,0,,,,1.00,0.25,0.30,75.88,0.00
11229,Read his full answer carefully:,0,31.00,0,0,his,,,3.00,0.12,0.78,66.40,0.00
11230,duly rewarded ,1,14.00,0,0,,,,3.00,0.00,0.00,-49.00,0.00
11231,Journalists must submit their questions well in advance.),0,57.00,0,0,,,,3.00,0.00,0.00,63.36,0.00
11232,thoroughly vetted ,1,18.00,0,0,,,,2.00,0.00,0.00,-49.00,0.00
11233,"But perhaps in hindsight, we are ready to examine the full implications of his little speech, one that was clearly well-rehearsed.",0,130.00,0,0,his,,,1.00,0.12,0.48,58.62,0.00
11234,papal apologists,1,16.00,0,0,,,,2.00,0.00,0.00,-6.70,0.00
11235,"Recall that this was the very first airplane interview, on the trip back to Rome from World Youth Day in Rio, a matter of weeks after his election.",0,147.00,0,0,his,,,1.00,0.16,0.22,68.44,0.00
11236,blatant and enormous lie,1,24.00,0,0,,,,2.00,-0.25,0.70,75.88,0.00
11237,"Looking carefully at the infamous “Who am I to judge” comment, this was clear early on.",0,87.00,0,0,,,,1.00,-0.10,0.67,72.16,0.00
11238,But he is also a master of judging an audience and telling them what they expect to hear; a key skill for all grifters and confidence tricksters.,0,145.00,0,0,he,,,3.00,0.00,1.00,69.45,0.00
11239,It is arguable that even the members of the so-called “San Gallen Mafia” who apparently conspired to put him on Peter’s throne were used by him.,0,144.00,0,0,"Peter, him",,,1.00,0.05,0.35,70.47,0.00
11240,mastery ,1,8.00,0,0,,,,2.00,0.00,0.00,-47.99,0.00
11241,A virtuoso performance-liar,1,27.00,0,0,,,,3.00,0.00,0.00,9.21,0.00
11242,"Several more similar cases, all of whom were rebuffed in their attempts to meet with Bergoglio, are detailed here, for the strong-of-stomach.",0,141.00,0,0,Bergoglio,,,1.00,0.23,0.41,57.61,0.00
11243,"In 2009, Grassi was convicted of two counts of aggravated sexual assault and corruption in the case of “Gabriel,” who was aged 13 at the time of the abuse, but the appeals dragged on until he was finally sent to prison in September 2013.",0,237.00,0,0,"Gabriel, Grassi, he",,,1.00,0.13,0.74,43.74,0.00
11244,During his criminal trial Grassi said Bergoglio “never let go” of his hand.,0,75.00,0,0,"Bergoglio, his, Grassi",,,1.00,-0.40,0.55,66.74,0.00
11245,"In 2006, then-Archbishop Bergoglio complained of a “media campaign” and claimed that the Grassi case was “different” from other accusations.",0,140.00,0,0,"Bergoglio, Grassi",,,1.00,-0.14,0.39,34.26,0.00
11246,The group surmises that it was Bergoglio’s direct intervention with judges in the case that prevented a conviction against Grassi for so long and delayed his sentencing through multiple appeals.,0,194.00,0,0,"Bergoglio, his, Grassi",,,1.00,0.02,0.27,41.03,0.00
11247,An employee refused to accept the letter after learning of its topic and threatened to call security if Gabriel and Gallego did not leave the premises.”,0,152.00,0,0,"Gabriel, Gallego",,,1.00,0.00,0.00,53.55,0.00
11248,"Ten years [after Gabriel filed criminal charges], in May 2013, with Grassi still free despite his conviction in 2009, “Gabriel and his attorney, Juan Pablo Gallego, brought a two-page letter addressed to Pope Francis to the office of the papal nuncio in Buenos Aires.",0,267.00,0,0,"Gabriel, Juan Pablo Gallego, his, Pope Francis, Grassi",,,1.00,0.00,0.45,43.74,0.00
11249,"In case anyone thinks the Grassi-Gabriel case was not serious enough for the pope’s attention, Bishop Accountability summarises, “A year after Gabriel had filed criminal charges [2003] but before the start of Grassi’s trial, three men ransacked the survivor’s apartment and beat him.” These men threatened to kill him if he did not retract his testimony and quit the case.",0,372.00,0,0,"Gabriel, he, his, him, Grassi",Bishop Accountability,,1.00,-0.08,0.57,19.04,0.00
11250,"So far, judges and prosecutors at all instances found him guilty.”",0,66.00,0,0,him,,,1.00,-0.20,1.00,77.23,0.00
11251,"One, known to the press only as “Gabriel,” wanted to talk to Francis about the sexual abuse he suffered at the hands of Julio César Grassi, accused of molesting at least five boys, “who has been avoiding the sentences of the justice of Morón and the Court of Cassation.",0,269.00,0,0,"Gabriel, Julio César Grassi, Francis, he",Court of Cassation,,1.00,0.07,0.74,47.12,0.00
11252,"It was at exactly this time, however, that victims from Argentina were attempting to get the new pope’s attention.",0,114.00,0,0,,,Argentina,1.00,0.19,0.35,52.19,0.00
11253,"Weeks after his election to the papacy, he was quoted by his close friend, Rabbi Abraham Skorka, “In my diocese it never happened to me, but a bishop called me once by phone to ask me what to do in a situation like this.” Francis added that he agreed with the “zero tolerance” attitude of the Irish episcopate and admired Pope Benedict’s reforms – most of which he was later to quietly reverse.",0,394.00,0,0,"Abraham Skorka, his, Francis, Benedict, he",,,1.00,0.12,0.21,14.30,0.00
11254,"In fact, he went so far as to flatly deny there had been any instances of abuse in his archdiocese.",0,99.00,0,0,"his, he",,,1.00,0.04,0.56,76.56,0.00
11255,"The site says that “in addition to Bergoglio’s failure to respond to victims, the public record contains no evidence that he released any information about abusers.”",0,165.00,0,0,"Bergoglio, he",,,1.00,-0.16,0.18,53.55,0.00
11256,"“All of them tried to contact the cardinal archbishop in 2002 or later,” the same period when Pope Benedict and other bishops were striving to meet with victims and demonstrate an interest in the problem.",0,204.00,0,0,Pope Benedict,,,1.00,-0.04,0.17,44.41,0.00
11257,"“In Pope Francis’s 21 years as bishop and archbishop of Buenos Aires, the Wall Street Journal reports, including the years when he headed the Argentine bishops’ conference, he declined to meet with victims of sexual abuse.”",0,223.00,0,0,"he, Francis",Wall Street Journal,the Argentine,1.00,0.50,0.83,43.40,0.00
11258,On their Argentina page is a long list of accusations that Bergoglio/Francis simply isn’t interested in hearing from victims.,0,125.00,0,0,,,Argentina,1.00,0.07,0.42,43.73,0.00
11259,"Though the website Bishop Accountability is blatantly anti-clerical, their data is unassailable since most of it comes from information that is already public.",0,159.00,0,0,,,,1.00,0.00,0.36,22.75,0.00
11260,“Argentine Victims Who Tried to Meet with Pope Francis…”,0,56.00,0,0,Francis,,,2.00,0.00,0.00,79.26,0.00
11261,"Indeed, on the subject of priests sexually abusing young people, it could only be measured in the negative numbers.",0,115.00,0,0,,,,2.00,0.03,0.59,52.19,0.00
11262,Perhaps his biggest error with Barros was failing to understand just how little of that capital of trust there is left in the Catholic world as a whole.,0,152.00,0,0,"Barros, his",,,1.00,0.00,0.25,59.98,0.00
11263,"He has a long record in Argentina of shaving close to scandals and vociferously denying involvement, and relying heavily on the broad good will of Catholics towards bishops to pull it off.",0,188.00,0,0,He,,Argentina,1.00,0.13,0.45,47.46,0.00
11264,"The pattern of silence and, when pressed, flat-out denial has been Bergoglio’s policy since long before he came on the international scene.",0,139.00,0,0,"Bergoglio, he",,,1.00,-0.03,0.20,57.61,0.00
11265,"And in case anyone was wondering what will happen next, the same advice said to keep on lying after you’re caught.",0,114.00,0,0,,,,1.00,0.00,0.06,75.54,0.00
11266,lie big and lie brazenly,1,24.00,0,0,,,,2.00,0.00,0.10,100.24,0.00
11267,under his thumb,1,15.00,0,0,his,,,2.00,0.00,0.00,93.81,0.00
11268,"In fact, the evidence shows that Ricca is completely in line with Bergoglio’s normal procedures.",0,96.00,0,0,"Bergoglio, Ricca",,,2.00,0.12,0.52,64.71,0.00
11269,"It was reported in 1999 and 2000 by L’Espresso, who said the information was confirmed by “numerous bishops, priests, religious and laity” in Uruguay[6].",0,153.00,0,0,L'Espresso,,Uruguay,1.00,0.13,0.58,55.58,0.00
11270,flagrant ,1,9.00,0,0,,,,2.00,0.00,0.00,-47.99,0.00
11271,"They include being caught in flagrante in an elevator with a teenaged male prostitute, and his sexual relationship with a captain in the Swiss army.",0,148.00,0,0,his,,,1.00,0.25,0.47,46.10,0.00
11272,"But Ricca’s activities, for which the pope claimed there was no evidence, were notorious.",0,89.00,0,0,Ricca,,,1.00,0.00,0.00,57.27,0.00
11273,"He added, “In this case, I conducted the preliminary investigation and we didn’t find anything.”",0,96.00,0,0,He,,,3.00,0.00,0.00,47.79,0.00
11274,This is the response.”,0,22.00,0,0,,,,2.00,0.00,0.00,75.88,0.00
11275,We did not find anything of that.,0,33.00,0,0,,,,1.00,0.00,0.00,106.67,0.00
11276,"And from this investigation, there was nothing of what had been alleged.",0,72.00,0,0,,,,1.00,-0.10,0.10,67.76,0.00
11277,"About Monsignor Ricca: I did what canon law calls for, that is a preliminary investigation.",0,91.00,0,0,Ricca,,,2.00,0.00,0.00,56.25,0.00
11278,His standard one: “No evidence.”,0,32.00,0,0,His,,,1.00,0.00,0.00,66.40,0.00
11279,What reply did Bergoglio give?,0,30.00,1,0,Bergoglio,,,2.00,0.00,0.00,100.24,0.00
11280,How are you confronting this issue and how does Your Holiness intend to confront the whole question of the gay lobby?”,0,118.00,1,0,,,,2.00,0.31,0.49,67.08,0.00
11281,"Ilze Scamparini asked the pope about Ricca, saying, “What you intend to do about this?",0,86.00,1,0,"Ricca, Ilze Scamparini",,,1.00,0.00,0.00,73.17,0.00
11282,It was made in response to a question by a journalist about Monsignore Battista Ricca – a prelate whose promiscuous homosexuality is so well known it was covered by the Telegraph as early as July 2013.,0,201.00,0,0,Monsignore Battista Ricca,,,1.00,0.10,0.30,34.94,0.00
11283,Who am I to judge,1,17.00,0,0,,,,2.00,0.00,0.00,117.16,0.00
11284,predatory homosexual,1,20.00,0,0,,,,2.00,0.00,0.00,-133.60,0.00
11285,secular reporters,1,17.00,0,0,,,,2.00,0.00,0.00,-6.70,0.00
11286,"Lie big, lie often, and when caught, keep lying.",1,48.00,0,0,,,,1.00,0.00,0.10,96.18,0.00
11287,"Vatican analysts now openly question whether he ‘gets it,’ and some of his own advisers privately acknowledge that maybe he doesn’t.”",0,133.00,0,0,"his, he",,,1.00,0.20,0.62,50.16,0.00
11288,"More recently, he let the abuse commission lapse at the end of last year.",0,73.00,0,0,he,,,1.00,0.17,0.27,82.65,0.00
11289,"“The revelation could be costly for Francis, whose track record on the abuse crisis was already shaky after a botched Italian abuse case he intervened in became public[5].",0,171.00,0,0,"he, Francis",,,1.00,-0.17,0.25,51.52,0.00
11290,"As Winfield writes,",0,19.00,0,0,Winfield,,,2.00,0.00,0.00,93.81,0.00
11291,"And this is what is now being said quite openly by a vast array of voices, secular and Catholic, left and right.",0,112.00,0,0,,,,1.00,0.07,0.41,74.53,0.00
11292,"In fact, unless Cardinal O’Malley – who has, as of this writing, remained silent – comes forward and says that he didn’t hand the letter over pope, there is really only one; that the pope lied.",0,193.00,0,0,"he, O'Malley",,,1.00,0.00,0.55,51.86,0.00
11293,"On the face of it, there are only a few logical possibilities here.",0,67.00,0,0,,,,1.00,0.02,0.45,66.74,0.00
11294,in his hands,1,12.00,0,0,his,,,2.00,0.00,0.00,119.19,0.00
11295,"Marie Collins, the Irish abuse survivor and Commission member who resigned, citing the Vatican’s refusal to take meaningful action, told AP, “When we gave him [O’Malley] the letter for the pope, he assured us he would give it to the pope and speak of the concerns.",0,264.00,0,0,"Marie Collins, he, O'Malley, him","Commission, AP",,1.00,0.20,0.20,41.71,0.00
11296,"The AP report, however, says exactly the opposite; that members of his own (now defunct[4]) abuse Commission had approached Cardinal O’Malley, the pope’s “top abuse advisor,” with the letter to deliver to the pope.",0,214.00,0,0,"Cardinal O'Malley, his",Commission,,1.00,0.34,0.44,36.97,0.00
11297,The best thing to do if someone believes it’s the case is to come forward quickly with evidence.”,0,97.00,0,0,,,,3.00,0.67,0.40,78.59,0.00
11298,"“In the case of Barros it’s been observed, it’s been studied; there’s no evidence.",0,82.00,0,0,Barros,,,1.00,0.00,0.00,74.19,0.00
11299,"Even while “apologising” the pope had doubled down when questioned about it by journalists, saying, “You, in all good will, tell me that there are victims, but I haven’t seen any, because they haven’t come forward.”",0,215.00,0,0,,,,1.00,0.27,0.44,60.32,0.00
11300,Bergoglio wanted Barros as a bishop and that was that.,0,54.00,0,0,"Bergoglio, Barros",,,1.00,0.00,0.00,86.71,0.00
11301,"Whatever the details of these strange incidents, what is clear in Chile is that no amount of eyewitness testimony was going to make the slightest difference.",0,157.00,0,0,,,Chile,1.00,0.03,0.27,53.55,0.00
11302,"But the third was a friend of someone and another cardinal, of the circle currently in power, has flung himself at his colleague, accusing him of impropriety.’ The meeting ended without further decisions.”",0,205.00,0,0,"his, him",,,1.50,0.00,0.30,29.52,0.00
11303,He responds little to the necessary criteria.,0,45.00,0,0,He,,,1.00,-0.09,0.75,38.99,0.00
11304,"But I would like to warn of the third, whom I know well, since he was a seminarian, and who presents problems both on the level of doctrine and morality.",0,153.00,0,0,he,,,1.00,0.00,0.00,66.41,0.00
11305,"A cardinal, head of the dicastery, perhaps the same holder of the Congregation for Bishops, during the ordinary assembly took the floor, saying: ‘The first candidate indicated is excellent, the second is good.",0,209.00,0,0,,Congregation for Bishops,,4.00,0.28,0.43,21.06,0.00
11306,The nuncio has prepared the triad [the “terna” or list of three candidates].,0,76.00,0,0,,,,1.00,0.00,0.00,66.74,0.00
11307,"“It was some time ago to make a bishop, not in Italy.",0,53.00,0,0,,,Italy,1.00,0.00,0.00,101.60,0.00
11308,"Without naming names, (or, frustratingly, giving dates[3]) Tosatti relates:",0,75.00,0,0,Tosatti,,,1.00,-0.40,0.90,36.96,0.00
11309,"Marco Tosatti reports the CDF incident, but it follows an odd story of a meeting of curial officials to discuss certain bishop appointments.",0,140.00,0,0,Marco Tosatti,CDF,,1.00,0.02,0.41,39.67,0.00
11310,I have decided that they have to leave and they have to leave.”,0,63.00,0,0,,,,2.00,0.00,0.00,92.12,0.00
11311,"When, after several attempts and three months later[2], Muller was able to get an audience with the pope to ask the reason, he received the response, “I am the pope, I do not need to give reasons for any of my decisions.",0,220.00,0,0,"he, Muller",,,2.00,0.25,0.31,54.23,0.00
11312,"The website One Peter Five reports, via Marco Tosatti, that the pope ordered their removal without offering any explanation to then-cardinal prefect Gerhard Muller.",0,164.00,0,0,"Peter Five, Marco Tosatti, Gerhard Muller",,,1.00,0.00,0.00,30.20,0.00
11313,"While the specifics are still not known, readers may be reminded by this of a peculiar incident about a year later in which Pope Francis summarily ordered the dismissal of three priests of the CDF, whose remit was investigations of clerics accused of sexual abuse.",0,264.00,0,0,Francis,CDF,,2.00,0.25,0.42,34.26,0.00
11314,"The accusations that stood against Karadima come from the same sources as those against Barros, who the victims said was in the room watching at the time.",0,154.00,0,0,"Barros, Karadima",,,1.00,0.00,0.12,69.45,0.00
11315,"The article points out that while Karadima was convicted by a Vatican tribunal on the testimony of the victims, it is the same testimony of the same victim-witnesses that Francis now dismisses in the accusations against Barros.",0,227.00,0,0,"Barros, Karadima, Francis",,,1.00,0.00,0.12,25.46,0.00
11316,"“But with a letter signed by the Pope in January 2015 and sent to the Chilean bishops, the request for exemption is blocked and shortly thereafter Barros is promoted to…Osorno.”",0,177.00,0,0,Barros,,,1.00,0.00,0.30,57.95,0.00
11317,"The Italian Catholic daily La Nuova Bussola Quotidiana reports that not only did the pope see a letter from victims, but that the CDF, under Muller, “had already conducted an preliminary investigation into Barros and the other bishops close to Karadima which had led to the decision to relieve them of their duties.”",0,316.00,0,0,"Barros, Muller, La Nuova Bussola Quotidiana",CDF,,1.00,-0.03,0.30,17.68,0.00
11318,Now it appears that Francis had also overruled a 2015 warning from the Congregation for the Doctrine of the Faith that Barros should not be made a bishop.,0,154.00,0,0,"Barros, Francis",,,1.00,0.00,0.00,59.98,0.00
11319,"It also calls into question his stated empathy with abuse survivors,",1,68.00,0,0,his,,,1.00,0.00,0.00,60.31,0.00
11320,"The fact that Francis received the eight-page letter, obtained by the AP, challenges his insistence that he has “zero tolerance” for sex abuse and cover-ups.",0,157.00,0,0,"his, Francis, he",AP,,1.00,0.00,0.00,63.02,0.00
11321,"Pope Francis received a victim’s letter in 2015 that graphically detailed how a priest sexually abused him and how other Chilean clergy ignored it, contradicting the pope’s recent insistence that no victims had come forward to denounce the cover-up, the letter’s author and members of Francis’ own sex- abuse commission have told The Associated Press.",0,351.00,0,0,"Francis, him",Associated Press,,1.00,0.22,0.54,15.65,0.00
11322,dropped the bomb ,1,17.00,0,0,,,,1.00,0.00,0.00,93.81,0.00
11323,"The press, secular as well as Catholic, is full this week of the story that the pope did indeed see evidence of Barros’ complicity in Karadima’s sexual abuse – not only that Barros had helped to cover it up but that he had been present and a direct witness at the time and therefore a passive participant.",0,305.00,0,0,"Barros, he",,,1.00,0.16,0.48,30.54,0.00
11324,had apologised-except-not-really,1,32.00,0,0,,,,2.00,0.00,0.00,-133.60,0.00
11325,pain,1,4.00,0,0,,,,2.00,0.00,0.00,121.22,0.00
11326,the convicted sex-predator Karadima,1,35.00,0,0,,,,2.00,0.00,0.00,8.20,0.00
11327,his good friend Bishop Juan Barros?,1,35.00,1,0,"his, Juan Barros",,,2.00,0.70,0.60,90.77,0.00
11328,"SPECIAL REPORT: Papal Cover-up Alleged, Pope Accused in International Sex Abuse Case",0,84.00,0,0,,,,1.00,0.09,0.22,42.38,0.00
11329,Sign up here to get INSIDER's favorite stories straight to your inbox.,0,70.00,0,0,,,,1.00,0.35,0.70,76.22,0.00
11330,"In a tweet, it said it refunded Arnold's tuition for the class and ""replaced the instructor.""",0,93.00,0,0,,Arnold,,1.00,0.00,0.00,72.16,0.00
11331,A representative for Southern New Hampshire University didn't immediately respond to INSIDER's request for comment.,0,115.00,0,0,,Southern New Hampshire University,,1.00,0.07,0.23,-2.98,0.00
11332,The professor did not acknowledge their error.,0,46.00,0,0,,,,1.00,0.00,0.00,55.91,0.00
11333,"After a period of review, the professor changed Arnold's grade to a B+, according to BuzzFeed News.",0,99.00,0,0,,Arnold,,1.00,0.00,0.00,62.68,0.00
11334,"""After I do some independent research on the continent/country issue I will review your paper.""",0,95.00,0,0,,,,1.00,0.00,0.12,39.33,0.00
11335,"""Thank you for this web-address,"" they wrote.",0,45.00,0,0,,,,3.00,0.00,0.00,89.75,0.00
11336,The professor said they'd take Arnold's concerns into consideration.,0,68.00,0,0,,Arnold,,2.00,0.00,0.00,36.96,0.00
11337,Thank you and let me know if I need to provide further resources proving Australia is a country.,0,96.00,0,0,,,Australia,3.00,0.00,0.50,78.59,0.00
11338,Again I mean no disrespect but my grade is affected by your assumption that Australia is not a country when it in fact is.,0,122.00,0,0,,,Australia,1.00,-0.31,0.69,72.50,0.00
11339,If you need further clarification google or the SNHU Shapiro Library has that information you.,0,94.00,0,0,,SNHU Shapiro Library,,2.00,0.00,0.50,56.25,0.00
11340,I provided a resource in the first email that clarifies that for you.,0,69.00,0,0,,,,2.00,0.25,0.33,75.20,0.00
11341,It's the only country that is both.,0,35.00,0,0,,,,2.00,0.00,1.00,89.75,0.00
11342,Australia is both a country and a continent.,0,44.00,0,0,,,Australia,2.00,0.00,0.00,71.82,0.00
11343,"In another email exchange, Arnold correctly asserted that Australia is a country, linking to the ""About Australia"" section of the country's website:",0,148.00,0,0,Arnold,,Australia,1.00,0.00,0.00,49.15,0.00
11344,"""As I mentioned above I will look over your week two paper once again and see if you earned more credits than I gave you.""",0,122.00,0,0,,,,2.00,0.25,0.30,88.40,0.00
11345,"That error made it nearly impossible for you to accurately complete your week 2 research outline correctly,"" the professor wrote in an email obtained by BuzzFeed News.",0,167.00,0,0,,BuzzFeed News,,1.00,-0.28,0.70,44.07,0.00
11346,Australia is a continent; it is not a country,1,45.00,0,0,,,Australia,2.00,0.00,0.00,79.26,0.00
11347,"When Arnold complained, the professor said they'd reexamine the assignment, but did not concede that Australia was a country.",0,125.00,0,0,Arnold,,Australia,1.00,-0.30,0.20,52.19,0.00
11348,Australia is both a continent and a country.,0,44.00,0,0,,,Australia,2.00,0.00,0.00,71.82,0.00
11349,continent; not a country,1,24.00,0,0,,,,2.00,0.00,0.00,50.50,0.00
11350,She chose to compare social media use in the US to what it's like in Australia.,0,79.00,0,0,She,,"Australia, US",3.00,0.03,0.07,80.62,0.00
11351,"For one of her final assignments, she had to compare a social norm in the United States to another country.",0,107.00,0,0,"she, her",,United States,1.00,0.02,0.53,59.64,0.00
11352,"The student, Ashley Arnold, is working towards an online sociology degree with the university.",0,94.00,0,0,Ashley Arnold,,,2.00,0.00,0.00,31.89,0.00
11353,"Australia is, in fact, a country.",0,33.00,0,0,,,Australia,2.00,0.00,0.00,90.77,0.00
11354,"the professor incorrectly thought Australia ""is not a country",1,61.00,0,0,,,Australia,2.00,0.00,0.00,45.42,0.00
11355,Shutterstock,0,12.00,0,0,Shutterstock,,,2.00,0.00,0.00,-47.99,0.00
11356,Just so we're all clear.,0,24.00,0,0,,,,2.00,0.10,0.38,117.16,0.00
11357,Australia is a country.,0,23.00,0,0,,,Australia,2.00,0.00,0.00,75.88,0.00
11358,her professor believed Australia 'is not a country,1,50.00,0,0,her,,Australia,2.00,0.00,0.00,63.36,0.00
11359,the next record-breaking encounter,1,34.00,0,0,,,,2.00,0.00,0.00,50.50,0.00
11360,"Fortunately, the spacecraft is healthy and functioning properly, although it is currently in hibernation.",0,105.00,0,0,,,,1.00,0.23,0.43,23.43,0.00
11361,the farthest planetary encounter in history,1,43.00,0,0,,,,2.00,0.00,0.00,31.55,0.00
11362,the most-distant course-correction manoeuvre ever,1,49.00,0,0,,,,2.00,0.00,0.00,-35.13,0.00
11363,"New Horizons is only the fifth man-made spacecraft to ever travel beyond the outer planets, and many of its activities are setting distance records, according to NASA.",0,167.00,0,0,,NASA,,1.00,0.21,0.65,44.07,0.00
11364,the 'Pale Blue Dot,1,18.00,0,0,,,,2.00,-0.10,0.14,118.18,0.00
11365,"the ""Pale Blue Dot",1,18.00,0,0,,,,2.00,-0.10,0.14,118.18,0.00
11366,New Horizons was even further away from Earth than the Voyager 1 space probe when it turned towards the Earth on 14 February 1990 and took a picture of a tiny dot.,0,163.00,0,0,,,,1.00,0.05,0.48,72.84,0.00
11367,"The false-colour images released by NASA are the farthest from Earth ever captured by a spacecraft, and are also the closest-ever images of Kuiper Belt objects.",0,160.00,0,0,,NASA,,1.00,0.00,0.00,53.55,0.00
11368,© Other A zoomed-in version of the 'Pale Blue Dot' image,0,56.00,0,0,,,,1.00,-0.11,0.22,85.69,0.00
11369,"Now, using its Long Range Reconnaissance Imager (LORRI), the spacecraft has photographed several Kuiper Belt objects (KBOs) and dwarf planets at unique angles.",0,159.00,0,0,,,,1.00,0.11,0.47,48.13,0.00
11370,"After the fly-by, the spacecraft continued into the Kuiper Belt - similar to the asteroid belt but further out from the Sun and composed of dwarf planets and frozen ice, rather than rocky bodies.",0,195.00,0,0,,,,1.00,0.00,0.45,46.44,0.00
11371,"New Horizons flew past Pluto in July 2015, taking pictures which revealed an even more diverse landscape than scientists had previously imagined.",0,145.00,0,0,,,,1.00,0.05,0.34,49.15,0.00
11372,record-breaking ,1,16.00,0,0,,,,2.00,0.00,0.00,-132.59,0.00
11373,Pic: NASA,0,9.00,0,0,,NASA,,2.00,0.00,0.00,120.21,0.00
11374,© Press Release The historic photograph taken by the New Horizons spacecraft.,0,77.00,0,0,,,,1.00,0.07,0.23,59.30,0.00
11375,farthest ever image ,1,20.00,0,0,,,,2.00,0.00,0.00,9.21,0.00
11376,"Marx, one of the pope’s nine main advisors, said in 2016 that same-sex relationships have “worth” which must be recognized by the Church.",0,137.00,0,0,Marx,Church,,1.00,0.23,0.22,73.51,0.00
11377,Cordes has a history of defending the Church’s moral teaching.,0,62.00,0,0,Cordes,Church,,3.00,0.00,0.25,69.79,0.00
11378,Nowhere did he suggest it will make us comfortable.”,0,52.00,0,0,he,,,2.00,0.40,0.80,87.72,0.00
11379,“Jesus said the truth will make us free.,0,40.00,0,0,Jesus,,,3.00,0.40,0.80,105.66,0.00
11380,"“This in no way is a rejection of the persons seeking such a blessing, but rather a refusal to ignore what we know to be true about the nature of marriage, the family, and the dignity of human sexuality,” he explained.",0,218.00,0,0,he,,,1.00,0.12,0.42,38.32,0.00
11381,"Second, there is no truth, no real mercy, and no authentic compassion, in blessing a course of action that leads persons away from God.”",0,136.00,0,0,,,,1.00,-0.06,0.29,64.04,0.00
11382,This emphatically includes persons with same-sex attraction.,0,60.00,0,0,,,,3.00,0.00,0.00,5.15,0.00
11383,as children of God with inherent dignity.,1,41.00,0,0,,,,2.00,0.00,0.00,55.91,0.00
11384,"“There are two principles we need to remember,” Chaput wrote.",0,61.00,0,0,Chaput,,,3.00,0.00,0.00,69.79,0.00
11385,"“Creating confusion around important truths of our faith, no matter how positive the intention, only makes a difficult task more difficult.”",0,140.00,0,0,,,,3.00,0.02,0.84,33.24,0.00
11386,"“There is no love – no charity – without truth, just as there is no real mercy separated from a framework of justice informed and guided by truth,” he wrote.",0,157.00,0,0,he,,,1.00,-0.17,0.45,57.95,0.00
11387,"He explained such a “blessing” would encourage people to continue living in a way the Church considers gravely sinful and spiritually damaging, and therefore would be uncharitable.",0,180.00,0,0,He,Church,,1.00,0.00,0.32,18.69,0.00
11388,"“Any such ‘blessing rite’ would cooperate in a morally forbidden act, no matter how sincere the persons seeking the blessing,”",1,126.00,0,0,,,,1.00,0.17,0.42,42.72,0.00
11389,Philadelphia Archbishop Charles Chaput has also spoken out against Marx’s proposal.,0,83.00,0,0,"Marx, Charles Chaput",,,1.00,0.00,0.00,34.93,0.00
11390,"The cardinal’s staff asked that CNA change his answer about liturgically “blessing” gay unions to: “There are no general solutions and I think that would not be right, because we are talking about pastoral care for individual cases, and that applies to other areas as well, which we cannot regulate, where we have no sets of rules.”",0,332.00,0,0,his,CNA,,0.00,0.11,0.48,22.08,0.00
11391,"The cardinal’s office maintains that rather than saying “yes,” there is a possibility of liturgical “blessing” of gay unions, he answered the question in a more subtle way without giving an explicit “yes.” However, the German Bishops’ Conference doesn’t seem to deny the rest of his statements on how “one must encourage priests” to give encouragement to homosexual couples, which could include public blessings that would take a “liturgical” form.",0,448.00,0,0,"his, he",,,1.50,0.12,0.33,-8.04,0.00
11392,"The cardinal’s office sent CNA “a request for correction of [its] translation of the interview in question, expressing concern that CNA's translation constitutes a false reference and does not properly reflect the position of Cardinal Marx.”",0,241.00,0,0,Marx,CNA,,1.00,-0.20,0.35,18.02,0.00
11393,"After Catholic News Agency’s initial report on Marx’s comments, his office contacted the outlet and said they had mistranslated part of what he said.",0,149.00,0,0,"Marx, his, he",Catholic News Agency,,1.00,0.00,0.05,55.58,0.00
11394,"But “how this would be done publicly, in a liturgical form,” is “another question...that is where one has to be reticent and also reflect upon that in a good way.”",0,163.00,0,0,,,,1.00,0.35,0.33,57.95,0.00
11395,This “encouragement” from priests which he called for might include some sort of “liturgical” recognition of their union.,0,121.00,0,0,he,,,1.00,0.00,0.00,53.21,0.00
11396,"As LifeSiteNews previously reported, Marx also said “yes,” he could imagine the creation of a rite for homosexual couples to be blessed in the Church.",0,150.00,0,0,"Marx, he",,,1.00,-0.17,0.17,46.10,0.00
