,sentence,span,propaganda
10099,"In a predictable performance, the duo cited mistakes and raised concerns but solved none of the lingering mysteries the massive report released last week that found anti-Trump bias did not affect FBI and DOJ decisions.
","In a predictable performance, the duo cited mistakes and raised concerns but solved none of the lingering mysteries the massive report released last week that found anti-Trump bias did not affect FBI and DOJ decisions.
",0
10100,"On Tuesday Horowitz performed solo before a joint session of the House Oversight and Judiciary Committees.
","On Tuesday Horowitz performed solo before a joint session of the House Oversight and Judiciary Committees.
",0
10101,"Oversight chairman Trey Gowdy delivered the opening statement.
","Oversight chairman Trey Gowdy delivered the opening statement.
",0
10102,"The attorney general had been accused of “softening or watering down his report,” Gowdy said, “When the reality is it was Jim Comey who softened and watered down his press release, announcing no charges against Secretary Clinton.
","The attorney general had been accused of “softening or watering down his report,” Gowdy said, “When the reality is it was Jim Comey who softened and watered down his press release, announcing no charges against Secretary Clinton.
",0
10103,"We see Jim Comey and Jim Comey alone deciding which DOJ policies to follow and which to ignore, to decide whether there is sufficient evidence to support each and every element of an offense and we see Jim Comey and Jim Comey alone deciding whether to send a letter to Congress in the throes of looming election.”
",Jim Comey and Jim Comey alone,1
10104,"In a devastating exchange with Horowitz, Gowdy said that “prejudging the outcome of an investigation before it ends, and prejudging the outcome of an investigation before it begins” is the “textbook definition of bias.” Democrats echoed the IG report’s conclusion that there was no bias.
",devastating,1
10105,"Republicans sought to tie up some loose threads.
","Republicans sought to tie up some loose threads.
",0
10106,"The IG report confirmed that President Obama communicated with Hillary Clinton on her unsecured email system.
","The IG report confirmed that President Obama communicated with Hillary Clinton on her unsecured email system.
",0
10107,"Horowitz said the president had been one of 13 who had done so.
","Horowitz said the president had been one of 13 who had done so.
",0
10108,"Rep. Steve King asked about the volume of communications between the president and Clinton.
","Rep. Steve King asked about the volume of communications between the president and Clinton.
",0
10109,"“I’ll have to get back to you on that,” Horowitz said, and the IG was “not sure” if any of the communications had involved classified or top secret material.
","“I’ll have to get back to you on that,” Horowitz said, and the IG was “not sure” if any of the communications had involved classified or top secret material.
",0
10110,"If the IG did know the subject of the president’s communications with Clinton, he failed to reveal any details.
","If the IG did know the subject of the president’s communications with Clinton, he failed to reveal any details.
",0
10111,"Horowitz “would have to ask” if his team interviewed any officials at the Obama White House but said “not the president himself.”
","Horowitz “would have to ask” if his team interviewed any officials at the Obama White House but said “not the president himself.”
",0
10112,"Rep. King asked Horowitz about his first encounter with the switch of “extremely careless” for ‘gross negligence,” which violated a criminal statute.
",extremely careless,1
10113,"Horowitz found that Peter Strzok, Lisa Page, and James Comey were all involved.
","Horowitz found that Peter Strzok, Lisa Page, and James Comey were all involved.
",0
10114,"The IG also said his team focused on the fact that the classified material on Clinton’s server was “not clearly marked,” which repeated one of Clinton’s claims about her negligence.
",negligence,1
10115,"As for the question of her “intent,” Horowitz said it arose “months earlier,” maybe in 2015, though he couldn’t be sure.
","As for the question of her “intent,” Horowitz said it arose “months earlier,” maybe in 2015, though he couldn’t be sure.
",0
10116,"King said President Obama had suggested the “careless but not intentional” language in a “60 Minutes” appearance in October of 2015.
","King said President Obama had suggested the “careless but not intentional” language in a “60 Minutes” appearance in October of 2015.
",0
10117,"And King had observed that in his July 5, 2016 statement, James Comey used “intent” six times.
","And King had observed that in his July 5, 2016 statement, James Comey used “intent” six times.
",0
10118,"Horowitz said Comey “concealed from the attorney general and the deputy attorney general, his intention to make a unilateral announcement in July 2016 about the reasons for his recommendations not to prosecute former Secretary Clinton.” The IG also described his report as a “thorough, comprehensive and objective recitation of the facts.”
","Horowitz said Comey “concealed from the attorney general and the deputy attorney general, his intention to make a unilateral announcement in July 2016 about the reasons for his recommendations not to prosecute former Secretary Clinton.” The IG also described his report as a “thorough, comprehensive and objective recitation of the facts.”
",0
10119,"The IG did confirm that Peter Strzok and Lisa Page worked on the Clinton investigation, the Russia and the Mueller team.
","The IG did confirm that Peter Strzok and Lisa Page worked on the Clinton investigation, the Russia and the Mueller team.
",0
10120,"Horowitz said Strzok and Page had exchanged “tens of thousands of texts.” Ohio Rep. James Jordan asked Horowitz when his team had discovered the message about “we’ll stop” Trump.
","Horowitz said Strzok and Page had exchanged “tens of thousands of texts.” Ohio Rep. James Jordan asked Horowitz when his team had discovered the message about “we’ll stop” Trump.
",0
10121,"Horowitz conceded that this meant “stop Trump from becoming president.” The IG said they uncovered that text in May, and Jordan asked “why did we not see it until last Thursday?”
","Horowitz conceded that this meant “stop Trump from becoming president.” The IG said they uncovered that text in May, and Jordan asked “why did we not see it until last Thursday?”
",0
10122,"“I can’t answer that,” Horowitz said, adding that it had been sent to Rod Rosenstein’s department at the DOJ.
","“I can’t answer that,” Horowitz said, adding that it had been sent to Rod Rosenstein’s department at the DOJ.
",0
10123,"Jordan concluded that Rosenstein “made the decision that we had to wait a month.”
","Jordan concluded that Rosenstein “made the decision that we had to wait a month.”
",0
10124,"Several representatives were curious about two FBI agents and one lawyer the IG report had not named.
","Several representatives were curious about two FBI agents and one lawyer the IG report had not named.
",0
10125,"“The FBI raised a concern because they work on counterintelligence matters,” Horowitz said.
","“The FBI raised a concern because they work on counterintelligence matters,” Horowitz said.
",0
10126,"Rep Mark Meadows asked if the two FBI agents were Kevin Clinesmith and Sally Moyer, which the IG declined to confirm.
","Rep Mark Meadows asked if the two FBI agents were Kevin Clinesmith and Sally Moyer, which the IG declined to confirm.
",0
10127,"“They don’t work in counterintelligence,” said Meadows, who charged that the FBI gave the IG “false information” and altered key witness reports.
","“They don’t work in counterintelligence,” said Meadows, who charged that the FBI gave the IG “false information” and altered key witness reports.
",0
10128,"“How did Comey see the report before it came out?” Rep. Darrell Issa wanted to know.
","“How did Comey see the report before it came out?” Rep. Darrell Issa wanted to know.
",0
10129,"Horowitz said Comey didn’t see the whole thing, but explained that he allowed those the IG team had criticized to have a look before release.
","Horowitz said Comey didn’t see the whole thing, but explained that he allowed those the IG team had criticized to have a look before release.
",0
10130,"By the end of the day it was evident that Congress would have to hear from Comey, Rosenstein, Strzok and others.
","By the end of the day it was evident that Congress would have to hear from Comey, Rosenstein, Strzok and others.
",0
10131,"Horowitz confirmed that the IG is investigating whether FBI official Peter Strzok’s anti-Trump bias factored into the launch of the bureau’s Russia probe.
","Horowitz confirmed that the IG is investigating whether FBI official Peter Strzok’s anti-Trump bias factored into the launch of the bureau’s Russia probe.
",0
10132,"Also on Tuesday Peter Strzok was “escorted” from the FBI building.
","Also on Tuesday Peter Strzok was “escorted” from the FBI building.
",0
10133,"As his lawyer told reporters, Strzok had “played by the rules,” but been targeted by “unfounded personal attacks, political games and inappropriate information leaks.”
","As his lawyer told reporters, Strzok had “played by the rules,” but been targeted by “unfounded personal attacks, political games and inappropriate information leaks.”
",0
10134,"“I hope he comes and portrays himself as a victim,” Trey Gowdy told Fox News.
","“I hope he comes and portrays himself as a victim,” Trey Gowdy told Fox News.
",0
10135,"Rep. Bob Goodlatte said the committee would issue a subpoena for Strzok to testify “next week.”
","Rep. Bob Goodlatte said the committee would issue a subpoena for Strzok to testify “next week.”
",0
10136,"That will make for an exciting show on C-SPAN but none of this would be happening if the deep state plot to “stop” Trump had succeeded.
",deep state plot,1
10137,"Julian Assange
","Julian Assange
",0
10138,"During World War II Cardinal Jozsef Mindszenty was a huge critic of fascism and wound up in prison.
","During World War II Cardinal Jozsef Mindszenty was a huge critic of fascism and wound up in prison.
",0
10139,"In Oct. 1945 he became head of the Church in Hungary and spoke out just as strongly against Communist oppression.
","In Oct. 1945 he became head of the Church in Hungary and spoke out just as strongly against Communist oppression.
",0
10140,"He wound up back in prison for eight more years, including long periods of solitary confinement and endured other forms of torture.
","He wound up back in prison for eight more years, including long periods of solitary confinement and endured other forms of torture.
",0
10141,"In 1949 he was sentenced to life in a show trial that generated worldwide condemnation.
",a show trial ,1
10142,"Two weeks after the trial began in early 1949, Pope Pius XII (having failed to speak out forcefully against the Third Reich) did summon the courage to condemn what was happening to Mindszenty.
","Two weeks after the trial began in early 1949, Pope Pius XII (having failed to speak out forcefully against the Third Reich) did summon the courage to condemn what was happening to Mindszenty.
",0
10143,"Pius excommunicated everyone involved in the Mindszenty trial.
","Pius excommunicated everyone involved in the Mindszenty trial.
",0
10144,"Then, addressing a huge crowd on St. Peter’s Square, he asked, “Do you want a Church that remains silent when she should speak … a Church that does not condemn the suppression of conscience and does not stand up for the just liberty of the people … a Church that locks herself up within the four walls of her temple in unseemly sycophancy …?”
",Do you want a Church that remains silent when she should speak … a Church that does not condemn the suppression of conscience and does not stand up for the just liberty of the people … a Church that locks herself up within the four walls of her temple in unseemly sycophancy ,1
10145,"When the Hungarian revolution broke out in 1956, Mindszenty was freed, but only for four days.
","When the Hungarian revolution broke out in 1956, Mindszenty was freed, but only for four days.
",0
10146,"When Soviet tanks rolled back into Budapest, he fled to the U.S. embassy and was given immediate asylum by President Eisenhower.
","When Soviet tanks rolled back into Budapest, he fled to the U.S. embassy and was given immediate asylum by President Eisenhower.
",0
10147,"Speaking Freely: Ray M... Buy New $1.99 (as of 09:20 EDT - Details)
","Speaking Freely: Ray M... Buy New $1.99 (as of 09:20 EDT - Details)
",0
10148,"There the Cardinal stayed cooped up for the next 15 years.
",cooped up ,1
10149,"Mindszenty’s mother was permitted to visit him four times a year, and the communist authorities stationed secret police outside the embassy ready to arrest him should he try to leave.
","Mindszenty’s mother was permitted to visit him four times a year, and the communist authorities stationed secret police outside the embassy ready to arrest him should he try to leave.
",0
10150,"Sound familiar?
","Sound familiar?
",0
10151,"Where is the voice of conscience to condemn what is happening to Julian Assange, whose only “crime” is publishing documents exposing the criminal activities and corruption of governments and other Establishment elites?
","Where is the voice of conscience to condemn what is happening to Julian Assange, whose only “crime” is publishing documents exposing the criminal activities and corruption of governments and other Establishment elites",1
10152,"Decades ago, the U.S. and “civilized world” had nothing but high praise for the courageous Mindszenty.
","Decades ago, the U.S. and “civilized world” had nothing but high praise for the courageous Mindszenty.
",0
10153,"He became a candidate for sainthood.
","He became a candidate for sainthood.
",0
10154,"And Assange?
","And Assange?
",0
10155,"He has been confined in the Ecuadorian embassy in London for six years —from June 19, 2012—the victim of a scurrilous slander campaign and British threats to arrest him, should he ever step outside.
",the victim of a scurrilous slander campaign ,1
10156,"The U.S. government has been putting extraordinary pressure on Ecuador to end his asylum and top U.S. officials have made it clear that, as soon as they get their hands on him, they will manufacture a reason to put him on trial and put him in prison.
",putting extraordinary pressure ,1
10157,"All for spreading unwelcome truth around.
",All for spreading unwelcome truth around,1
10158,"A Suppression of Conscience
","A Suppression of Conscience
",0
10159,"One might ask, is “unseemly sycophancy” at work among the media?
","One might ask, is “unseemly sycophancy” at work among the media",1
10160,"The silence of what used to be the noble profession of journalism is deafening.
",the noble profession of journalism ,1
10161,"John Pilger — one of the few journalists to speak out on Julian Assange’s behalf, labels journalists who fail to stand in solidarity with Assange in exposing the behavior of the Establishment, “Vichy journalists — after the Vichy government that served ad enabled the German occupation of France.”
",Vichy journalists ,1
10162,"Pilger adds:
","Pilger adds:
",0
10163,"“No investigative journalism in my lifetime can equal the importance of what WikiLeaks has done in calling rapacious power to account.
",No investigative journalism in my lifetime can equal the importance of what WikiLeaks has done ,1
10164,"It is as if a one-way moral screen has been pushed back to expose the imperialism of liberal democracies: the commitment to endless warfare … When Harold Pinter accepted the Nobel Prize for Literature in 2005, he referred to ‘a vast tapestry of lies up on which we feed.’ He asked why ‘the systematic brutality, the widespread atrocities, the ruthless suppression of independent thought’ of the Soviet Union were well known in the West while America’s imperial crimes “never happened … even while [they] were happening, they never happened.’”
",a one-way moral screen has been pushed back to expose the imperialism of liberal democracies,1
10165,"WikiLeaks and 9/11: What if?
","WikiLeaks and 9/11: What if?
",0
10166,"In an op-ed published several years ago by The Los Angeles Times, two members of Veteran Intelligence Professionals for Sanity, Coleen Rowley and Bogdan Dzakovic, pointed out that — If WikiLeaks had been up and running before 9/11 — frustrated FBI investigators might have chosen to leak information that their superiors bottled up, perhaps averting the terrorism attacks.
",frustrated FBI investigators ,1
10167,"“There were a lot of us in the run-up to Sept. 11 who had seen warning signs that something devastating might be in the planning stages.
",something devastating ,1
10168,"But we worked for ossified bureaucracies incapable of acting quickly and decisively.
",ossified bureaucracies incapable of acting quickly and decisively,1
10169,"Lately, the two of us have been wondering how things might have been different if there had been a quick, confidential way to get information out.” The WikiLeaks Files: T... WikiLeaks Best Price: $2.50 Buy New $7.00 (as of 05:50 EDT - Details)
","Lately, the two of us have been wondering how things might have been different if there had been a quick, confidential way to get information out.” The WikiLeaks Files: T... WikiLeaks Best Price: $2.50 Buy New $7.00 (as of 05:50 EDT - Details)
",0
10170,"Fourth Estate on Life Support
",Fourth Estate on Life Support,1
10171,"In 2010, while he was still a free man, the Sam Adams Associates for Integrity gave its annual award to Assange.
","In 2010, while he was still a free man, the Sam Adams Associates for Integrity gave its annual award to Assange.
",0
10172,"The citation read:
","The citation read:
",0
10173,"“It seems altogether fitting and proper that this year’s award be presented in London, where Edmund Burke coined the expression “Fourth Estate.” Comparing the function of the press to that of the three Houses then in Parliament, Burke said: “…but in the Reporters Gallery yonder, there sits a Fourth Estate more important far then they all.” The year was 1787—the year the U.S. Constitution was adopted.
",a Fourth Estate more important far then they all,1
10174,"The First Amendment, approved four years later, aimed at ensuring that the press would be free of government interference.
","The First Amendment, approved four years later, aimed at ensuring that the press would be free of government interference.
",0
10175,"That was then.
","That was then.
",0
10176,"With the Fourth Estate now on life support, there is a high premium on the fledgling Fifth Estate, which uses the ether and is not susceptible of government or corporation control.
",Fourth Estate now on life support,1
10177,"Small wonder that governments with lots to hide feel very threatened.
",Small wonder ,1
10178,"It has been said: “You shall know the truth, and the truth shall set you free.” WikiLeaks is helping make that possible by publishing documents that do not lie.
","It has been said: “You shall know the truth, and the truth shall set you free.” WikiLeaks is helping make that possible by publishing documents that do not lie.
",0
10179,"Last spring, when we chose WikiLeaks and Julian Assange for this award, Julian said he would accept only “on behalf or our sources, without which WikiLeaks’ contributions are of no significance.” We do not know if Pvt.
","Last spring, when we chose WikiLeaks and Julian Assange for this award, Julian said he would accept only “on behalf or our sources, without which WikiLeaks’ contributions are of no significance.” We do not know if Pvt.
",0
10180,"Bradley Manning gave WikiLeaks the gun-barrel video of July 12, 2007 called “Collateral Murder.” Whoever did provide that graphic footage, showing the brutality of the celebrated “surge” in Iraq, was certainly far more a patriot than the “mainstream” journalist embedded in that same Army unit.
",the brutality of the celebrated “surge” in Iraq,1
10181,"He suppressed what happened in Baghdad that day, dismissed it as simply “one bad day in a surge that was filled with such days,” and then had the temerity to lavish praise on the unit in a book he called “The Good Soldiers.” Julian is right to emphasize that the world is deeply indebted to patriotic truth-tellers like the sources who provided the gun-barrel footage and the many documents on Afghanistan and Iraq to WikiLeaks.
",one bad day in a surge that was filled with such days,1
10182,"We hope to have a chance to honor them in person in the future.
","We hope to have a chance to honor them in person in the future.
",0
10183,"Today we honor WikiLeaks, and one of its leaders, Julian Assange, for their ingenuity in creating a new highway by which important documentary evidence can make its way, quickly and confidentially, through the ether and into our in-boxes.
","Today we honor WikiLeaks, and one of its leaders, Julian Assange, for their ingenuity in creating a new highway by which important documentary evidence can make its way, quickly and confidentially, through the ether and into our in-boxes.
",0
10184,"Long live the Fifth Estate!”
",Long live the Fifth Estate,1
10185,"Eventually a compromise was found in 1971 when Pope Paul VI lifted the excommunications and Mindszenty was able to leave the U.S. embassy.
","Eventually a compromise was found in 1971 when Pope Paul VI lifted the excommunications and Mindszenty was able to leave the U.S. embassy.
",0
10186,"Can such a diplomatic solution be found to free Assange?
","Can such a diplomatic solution be found to free Assange?
",0
10187,"It is looking more and more unlikely with each passing year.
","It is looking more and more unlikely with each passing year.
",0
10188,"Reprinted with permission from Consortiumnews.com.
","Reprinted with permission from Consortiumnews.com.
",0
10189,"The Obama Era Jade Helm Connection To The Current Illegal Immigration Policy
","The Obama Era Jade Helm Connection To The Current Illegal Immigration Policy
",0
10190,"On the surface, the latest illegal immigration debate between Leftists and the Administration looks like, yet another issue Progressives are trying to undermine progress being done by the president.
","On the surface, the latest illegal immigration debate between Leftists and the Administration looks like, yet another issue Progressives are trying to undermine progress being done by the president.
",0
10191,"No one should be surprised by the crackdown on illegals entering the country, especially since it was one of the major campaign promises Donald Trump made before getting elected.
","No one should be surprised by the crackdown on illegals entering the country, especially since it was one of the major campaign promises Donald Trump made before getting elected.
",0
10192,"When it comes to the separation of children from their families, there is nothing new today that was not being done during the Obama reign.
","When it comes to the separation of children from their families, there is nothing new today that was not being done during the Obama reign.
",0
10193,"In 2013, Obama began bringing into the US literally over a hundred thousand people, mainly below age 21.
","In 2013, Obama began bringing into the US literally over a hundred thousand people, mainly below age 21.
",0
10194,"They were bused, flown, and met at the US border with Mexico by the Department of Homeland Security under the direction of Obama to do so.
","They were bused, flown, and met at the US border with Mexico by the Department of Homeland Security under the direction of Obama to do so.
",0
10195,"Since most of them were adolescents and older teenagers they could not be set free, thus Obama ordered various military bases to house these children.
","Since most of them were adolescents and older teenagers they could not be set free, thus Obama ordered various military bases to house these children.
",0
10196,"take our poll - story continues below
","take our poll - story continues below
",0
10197,"Whom do you consider to be the most corrupt Democrat Politician?
","Whom do you consider to be the most corrupt Democrat Politician?
",0
10198,"Whom do you consider to be the most corrupt Democrat Politician?
","Whom do you consider to be the most corrupt Democrat Politician?
",0
10199,"Whom do you consider to be the most corrupt Democrat Politician?
","Whom do you consider to be the most corrupt Democrat Politician?
",0
10200,"* Dianne Feinstein Maxine Waters Adam Schiff Chuck Schumer Kamala Harris Kirsten Gillibrand Keith Ellison Cory Booker
","* Dianne Feinstein Maxine Waters Adam Schiff Chuck Schumer Kamala Harris Kirsten Gillibrand Keith Ellison Cory Booker
",0
10201,"Email *
","Email *
",0
10202,"Comments This field is for validation purposes and should be left unchanged.
","Comments This field is for validation purposes and should be left unchanged.
",0
10203,"Completing this poll grants you access to Freedom Outpost updates free of charge.
","Completing this poll grants you access to Freedom Outpost updates free of charge.
",0
10204,"You may opt out at anytime.
","You may opt out at anytime.
",0
10205,"You also agree to this site's Privacy Policy and Terms of Use.
","You also agree to this site's Privacy Policy and Terms of Use.
",0
10206,"The surge of children into the US from various countries south of the border was said to be the result of economics, high crime rates, and actual threats from organized crime entities.
","The surge of children into the US from various countries south of the border was said to be the result of economics, high crime rates, and actual threats from organized crime entities.
",0
10207,"Another excuse used by the Obama government was to bring them here to find their families already in the US.
",excuse,1
10208,"Thus, the idea that separating children from their parents as being something new, done only by the Trump Administration is absurd, since we really have no idea whether the children brought here during the Obama reign were intentionally separated from their parents by the US government at that time, or not.
",separating,1
10209,"We have only what little information the government told us then, which was not very much, considering the fact that Obama wanted to keep as much of this situation as secret as possible.
","We have only what little information the government told us then, which was not very much, considering the fact that Obama wanted to keep as much of this situation as secret as possible.
",0
10210,"What many do not realize is, today's policy of separating underage siblings from their parents once they cross the border illegally into the US seems to be a planned event by the US government going all the way back to the domestic military exercises known as Jade Helm in 2015.
",separating,1
10211,"Many remember the military taking over several Walmart locations, mainly in Texas, during the Jade Helm exercises.
","Many remember the military taking over several Walmart locations, mainly in Texas, during the Jade Helm exercises.
",0
10212,"This, along with the federal government grab of millions of acres of land during the Obama years, speaks volumes in the government's plan to be able to handle millions of people.
","This, along with the federal government grab of millions of acres of land during the Obama years, speaks volumes in the government's plan to be able to handle millions of people.
",0
10213,"Since Obama planned to have over a million Muslim refugees brought into the US over a short period of time, along with the hundreds of thousands of illegal immigrants coming in, one can understand the reason the Feds had to have the Walmart stores and so much land, as they needed housing for the millions they planned to bring in.
","Since Obama planned to have over a million Muslim refugees brought into the US over a short period of time, along with the hundreds of thousands of illegal immigrants coming in, one can understand the reason the Feds had to have the Walmart stores and so much land, as they needed housing for the millions they planned to bring in.
",0
10214,"Despite President Trump signing an Executive Order suspending Syrian refugees from entering the US for 120 days on Jan. 26, 2017 while security measures were reviewed, the US still imported 110,000 refugees from Syria and various other countries into the US in 2017 alone, up from 85,000 the previous year.
","Despite President Trump signing an Executive Order suspending Syrian refugees from entering the US for 120 days on Jan. 26, 2017 while security measures were reviewed, the US still imported 110,000 refugees from Syria and various other countries into the US in 2017 alone, up from 85,000 the previous year.
",0
10215,"These numbers follow Obama's projections of the expected amount of refugees permitted to come to the US.
","These numbers follow Obama's projections of the expected amount of refugees permitted to come to the US.
",0
10216,"Of course, as with the number of illegal immigrants entering our county, the Feds downplay the actual number which always ends up to be more than quadruple their stated number.
","Of course, as with the number of illegal immigrants entering our county, the Feds downplay the actual number which always ends up to be more than quadruple their stated number.
",0
10217,"What we seem to have here with the illegal immigration situation today is some very good actors on the Left accusing the Trump Administration of being cruel and insensitive with separating children from their families once they cross the Mexican border into the US.
",some very good actors on the Left,1
10218,"When in fact, their idol, Obama did the same thing for years during his time in power.
",idol,1
10219,"What they do not want to admit to is the fact that today's illegal immigration picture is one that follows the Obama plan on dealing with the influx of illegals to a carbon copy.
","What they do not want to admit to is the fact that today's illegal immigration picture is one that follows the Obama plan on dealing with the influx of illegals to a carbon copy.
",0
10220,"President Trump, on the other hand, is following along with it by detaining illegal immigrants at the border and separating children from their apparent families.
",separating,1
10221,"Since no one can know if the children really belong to the illegals who say they are their parents, they are separated until that can be verified, along with other background findings.
",separated,1
10222,"The bottom line is, both the Left and the Trump Administration seem to be following along with a plan of action going back to Jade Helm which paved the way for the housing needed for such a huge influx of illegal immigrants and refugees.
","The bottom line is, both the Left and the Trump Administration seem to be following along with a plan of action going back to Jade Helm which paved the way for the housing needed for such a huge influx of illegal immigrants and refugees.
",0
10223,"All of which seems to be a planned event.
","All of which seems to be a planned event.
",0
10224,"In any case, neither side in DC is really interested in solving the illegal immigration problem or cares about the children involved.
","In any case, neither side in DC is really interested in solving the illegal immigration problem or cares about the children involved.
",0
10225,"If they were, there would be no detention and separation after illegally coming into the US, only an immediate deportation by US Border Patrol on the spot.
",separation,1
10226,"Muslim Cleric: “There Were Jews In Islamic Countries & Caliphates, But We Never Killed Them Just For Being Jews”
","Muslim Cleric: “There Were Jews In Islamic Countries & Caliphates, But We Never Killed Them Just For Being Jews”
",0
10227,"When he says that Muslims never killed Jews just for being Jews, he is lying, and relying on the historical ignorance of his audience.
","When he says that Muslims never killed Jews just for being Jews, he is lying, and relying on the historical ignorance of his audience",1
10228,"In my new book The History of Jihad From Muhammad to ISIS , I detail many instances in which Muslims did exactly that.
","In my new book The History of Jihad From Muhammad to ISIS , I detail many instances in which Muslims did exactly that",1
10229,"In 1013, Berbers from North Africa entered Spain and took Córdoba in 1013, they began massacring Jews, and initiated a wholesale slaughter of Jews in Granada.
",massacring Jews,1
10230,"And again in 1066, rioting Muslims, enraged by the humiliation of a Jew who had been appointed to rule over Muslims, murdered four thousand Jews in Granada.
",enraged by the humiliation ,1
10231,"take our poll - story continues below
","take our poll - story continues below
",0
10232,"Whom do you consider to be the most corrupt Democrat Politician?
","Whom do you consider to be the most corrupt Democrat Politician?
",0
10233,"Whom do you consider to be the most corrupt Democrat Politician?
","Whom do you consider to be the most corrupt Democrat Politician?
",0
10234,"Whom do you consider to be the most corrupt Democrat Politician?
","Whom do you consider to be the most corrupt Democrat Politician?
",0
10235,"* Dianne Feinstein Maxine Waters Adam Schiff Chuck Schumer Kamala Harris Kirsten Gillibrand Keith Ellison Cory Booker
","* Dianne Feinstein Maxine Waters Adam Schiff Chuck Schumer Kamala Harris Kirsten Gillibrand Keith Ellison Cory Booker
",0
10236,"Email *
","Email *
",0
10237,"Comments This field is for validation purposes and should be left unchanged.
","Comments This field is for validation purposes and should be left unchanged.
",0
10238,"Completing this poll grants you access to Freedom Outpost updates free of charge.
","Completing this poll grants you access to Freedom Outpost updates free of charge.
",0
10239,"You may opt out at anytime.
","You may opt out at anytime.
",0
10240,"You also agree to this site's Privacy Policy and Terms of Use.
","You also agree to this site's Privacy Policy and Terms of Use.
",0
10241,"The twelfth-century Muslim historian Ibn Baydhaq detailed how the Almohads treated the Jews as they advanced:
",The twelfth-century Muslim historian Ibn Baydhaq detailed how the Almohads treated the Jews as they advanced,1
10242,"Abd al-Mumin…the leader of the Almohads after the death of Muhammad ibn Tumart the Mahdi…captured Tlemcen [in the Maghreb] and killed all those who were in it, including the Jews, except those who embraced Islam….
","Abd al-Mumin…the leader of the Almohads after the death of Muhammad ibn Tumart the Mahdi…captured Tlemcen [in the Maghreb] and killed all those who were in it, including the Jews, except those who embraced Islam….
",0
10243,"[In Sijilmasa] one hundred and fifty persons were killed for clinging to their [Jewish] faith….
",clinging to their [Jewish] faith,1
10244,"All the cities in the Almoravid state were conquered by the Almohads.
","All the cities in the Almoravid state were conquered by the Almohads.
",0
10245,"One hundred thousand persons were killed in Fez on that occasion, and 120,000 in Marrakesh.
","One hundred thousand persons were killed in Fez on that occasion, and 120,000 in Marrakesh.
",0
10246,"The Jews in all [Maghreb] localities [conquered]…groaned under the heavy yoke of the Almohads; many had been killed, many others converted; none were able to appear in public as Jews.
",groaned under the heavy yoke of the Almohads,1
10247,"Don’t allow yourself to be deceived by the likes of Jihad Al-‘Ayesh.
","Don’t allow yourself to be deceived by the likes of Jihad Al-‘Ayesh.
",0
10248,"Preorder The History of Jihad From Muhammad to ISIS.
","Preorder The History of Jihad From Muhammad to ISIS.
",0
10249,"""Kuwaiti Cleric Sheikh Jihad Al-‘Ayesh Denies the Holocaust and the Existence of Gas Chambers: How Big a Bakery Would You Need to Make 50,000 Loaves of Bread?,” MEMRI, May 26, 2018:
","""Kuwaiti Cleric Sheikh Jihad Al-‘Ayesh Denies the Holocaust and the Existence of Gas Chambers: How Big a Bakery Would You Need to Make 50,000 Loaves of Bread?,” MEMRI, May 26, 2018:
",0
10250,"Kuwaiti cleric Sheikh Jihad Al-‘Ayesh delivered a speech in which he said that the figure of six million Jews killed in the Holocaust was a “historical lie,” but that Hitler “knew the truth about the Jews” and therefore began “tormenting and persecuting them.” “The Jews were banished, tortured and annihilated because of their deeds.
",began “tormenting ,1
10251,"They were not banished for being Jews,” he said.
","They were not banished for being Jews,” he said.
",0
10252,"In an effort to dispute the existence of gas chambers at Auschwitz, Sheikh Al-‘Ayesh, who heads the Bait Al-Maqdis Documentary Studies Center, drew the following analogy: “Imagine that you want to build a bakery.
","In an effort to dispute the existence of gas chambers at Auschwitz, Sheikh Al-‘Ayesh, who heads the Bait Al-Maqdis Documentary Studies Center, drew the following analogy: “Imagine that you want to build a bakery.
",0
10253,"What size of bakery would you need to make 10,000 loaves of bread?… What if you wanted to make 50,000 loaves of bread an hour?
","What size of bakery would you need to make 10,000 loaves of bread?… What if you wanted to make 50,000 loaves of bread an hour?
",0
10254,"You would need a larger bakery.
","You would need a larger bakery.
",0
10255,"How many ovens would you need to burn six million human beings?” Sheikh Al-‘Ayesh’s posted his address on his personal YouTube channel on May 26.
","How many ovens would you need to burn six million human beings?” Sheikh Al-‘Ayesh’s posted his address on his personal YouTube channel on May 26.
",0
10256,"The video was also posted on the Facebook account of Bait Al-Maqdis Documentary Studies Center.
","The video was also posted on the Facebook account of Bait Al-Maqdis Documentary Studies Center.
",0
10257,"Following is a transcript: Jihad Al-‘Ayesh: “Some people have shown up with a new fashion.
","Following is a transcript: Jihad Al-‘Ayesh: “Some people have shown up with a new fashion.
",0
10258,"We used to think that fashion has to do with haircuts, clothes, or lifestyle, but the vogue today is to sympathize with the Jews and to shed crocodile tears about their sorrows, their heresy, and their historical lies.
",fashion,1
10259,"This is, indeed, a new fashion.
",fashion,1
10260,"Some esteemed people shed tears about what the Jews call ‘the Holocaust.’ […] “Did the Nazi annihilation – the Holocaust – target only the Jews?
",what the Jews call ‘the Holocaust,1
10261,"Anybody?
","Anybody?
",0
10262,"The Jews claim that it happened to them alone and that the number of Jews who died in that Holocaust was six million.
","The Jews claim that it happened to them alone and that the number of Jews who died in that Holocaust was six million.
",0
